Library,Environment,Soil_type,Land_use_broad,Land_use,Depth,TotalReads,SumReads,Richness,Shannon,Shannon.effective,Alsuviricetes,Astroviridae,Bunyavirales,Ghabrivirales,Birnaviridae,Monjiviricetes,Botourmiaviridae,Amabiliviricetes,Leviviricetes,Mitoviridae,Nodamuvirales,Durnavirales,Picornavirales,Reovirales,Sobelivirales,Tolivirales,Other
CC1A,CC,Chromosol,Agricultural,Cropping,5 cm,216962846,634216.43,19,2.098306706,8.15,198,3565,766,20345.2,0,0,86841.8199,176315.2101,128454.65,12950.23,15428.18,1157,133961.76,544,3838,9084,40767.38
CC1B,CC,Chromosol,Agricultural,Cropping,5 cm,214761862,741713.34,20,1.859692401,6.42,568,3810,652,8464,89,39,176811.3963,1785.9737,175907.66,9177.66,21999.49,5698.36,215614.35,0,4202.95,2708,114185.5
CC1C,CC,Chromosol,Agricultural,Cropping,5 cm,209520838,932427.99,20,1.505023724,4.5,345,3210,526,8083,14,24,25361.0566,205194.0034,480627.22,11758.99,6756.4,1549,124828.11,0,2329,2434,59388.21
CC2A,CC,Chromosol,Agricultural,Cropping,15 cm,194816340,382672.94,16,1.203959412,3.33,252,3280,416,5919,0,0,113060.29,3496.71,221837.33,7408.16,5123,1039,6640,0,184,3723.45,10294
CC2B,CC,Chromosol,Agricultural,Cropping,15 cm,184716234,308802.49,17,1.726617965,5.62,371,4392,280,3817,0,0,37890.136,56835.204,126926.54,12583.3,8131,891,47381,0,871.34,1120.43,7312.54
CC2C,CC,Chromosol,Agricultural,Cropping,15 cm,210836458,364066.6,18,1.525799266,4.6,454,4300,131,2181,6,0,2719.841,133272.209,113307.4,6123.8,12513,375,74923,0,500.55,2018.6,11241.2
CN1A,CN,Chromosol,Native,Native,5 cm,133525928,156058.65,15,1.60047847,4.96,110,618,17,0,0,0,11696,15504,27043.24,79328.34,664,313,11999.07,0,2624,2991,3151
CN1B,CN,Chromosol,Native,Native,5 cm,171366686,447797.35,16,1.140330224,3.13,7794,3831,22,0,0,0,4229.1236,3903.8064,77783.57,302178.21,1197.31,1220.39,21643.45,0,1780,972,21242.49
CN1C,CN,Chromosol,Native,Native,5 cm,181963362,502041.88,16,1.343946779,3.83,95,1699.9,0,10,0,0,5577.645,1859.215,106343.64,207088.12,13222.02,238,160153.19,0,2409,1129,2217.15
CN2A,CN,Chromosol,Native,Native,15 cm,158672834,202302.01,13,0.795880579,2.22,439,911,54,0,0,0,3434.31,1769.19,11918.46,163372.2,1093,12,16559,0,913.2,523.87,1302.78
CN2B,CN,Chromosol,Native,Native,15 cm,183736234,102111.1,11,1.419285108,4.13,201,1942,0,0,0,0,982.3428,4475.1172,51723,21412.51,641,0,17491.25,0,1012.12,846.12,1384.64
CN2C,CN,Chromosol,Native,Native,15 cm,200103741,194810.01,15,1.240496898,3.46,171,3271,12,0,0,0,2004.1579,6709.5721,91721.1,74028.85,129,84,12035.9,0,354.53,164,4124.9
SN1A,SN,Sodosol,Native,Native,5 cm,211904548,466179.96,16,1.531982788,4.63,36,29,27,1619,0,0,55583.8711,63574.7589,313,235821.63,57578.48,4155.83,26811,0,1871,2475.73,16283.66
SN1B,SN,Sodosol,Native,Native,5 cm,208017153,428397.92,16,1.53118886,4.62,24,11,0,897,0,0,60365.288,90547.932,556,199231.1,40181.34,2391.1,18313,0,3060,2581.93,10238.23
SN1C,SN,Sodosol,Native,Native,5 cm,251839163,369631.98,15,1.465987241,4.33,81,0,53,1124,0,0,17949.4668,81769.7932,813,190231.34,36131.21,4815,24098,0,2001.5,782.1,9782.57
SN2A,SN,Sodosol,Native,Native,15 cm,396048072,339865.92,11,1.750266438,5.76,0,0,263,2904,0,0,38109.08,77734.92,47657,118829.72,16212.9,0,23998,0,12990,255,912.3
SN2B,SN,Sodosol,Native,Native,15 cm,260914262,361575.75,14,1.683020046,5.38,0,0,3961,2527,0,0,64119.6864,8743.5936,20769.99,92668.82,26431.24,231,130764.42,0,9654,1066,639
SN2C,SN,Sodosol,Native,Native,15 cm,225039982,145028.86,12,1.789534659,5.99,191,0,399,3623,0,0,32242.56,18136.44,10952,45210.65,24913.21,0,0,52,7650,774,885
SP1A,SP,Sodosol,Agricultural,Pasture,5 cm,174040638,155140.12,18,2.142151987,8.52,3001.51,3377,52,0,41,0,8769.3786,7470.2114,38527.49,41195,15593.1,1122,15076.53,0,9011,9245.59,2658.31
SP1B,SP,Sodosol,Agricultural,Pasture,5 cm,200231354,281989.03,18,1.226722198,3.41,3196,2503,0,0,0,82,6530.472,2539.628,207163.05,11649.25,3973.43,7595,17260.49,666,2767.46,9240.16,6823.09
SP1C,SP,Sodosol,Agricultural,Pasture,5 cm,180098926,233085.52,18,1.579309685,4.85,6338,4584.88,98,499,0,0,34705.512,3856.168,135523.69,9063,5899.69,340,12009.13,0,7572.72,2326,10269.73
SP2A,SP,Sodosol,Agricultural,Pasture,15 cm,197330238,40960.04,17,1.889443037,6.62,780,511,0,1542.99,251,0,825.6177,8347.9123,10715.39,12058.13,2660,460,2363,0,38,61,346
SP2B,SP,Sodosol,Agricultural,Pasture,15 cm,212502080,47814.52,19,2.110851111,8.26,1954,1847,75,869,0,121,4271.4882,5898.7218,3279.05,17119.23,4125,918,6448.03,272,91,133,393
SP2C,SP,Sodosol,Agricultural,Pasture,15 cm,176610916,32033.55,19,1.86790884,6.47,237,694,12,304,23,0,2113.98,1089.02,6517,12836,3032,139,2574.06,0,54,266,2142.49
VC1A,VC,Vertosol,Agricultural,Cropping,5 cm,198573163,125817.4379,17,1.414772317,4.12,191.1,57,0,151,0,0,14442.93,17100.00,20607.87,67242.50,482.07,1602.6179,2654.35,206,905,0,175.00
VC1B,VC,Vertosol,Agricultural,Cropping,5 cm,201923726,152487.98,15,1.326264959,3.77,0,80,42,215,0,0,895.11,45715.78,62674.33,35733.11,972.04,0,4637.37,26,606,459,432.24
VC1C,VC,Vertosol,Agricultural,Cropping,5 cm,231398735,126905.5126,15,1.358492188,3.89,0,0,0,314,0,0,23982.46,6266.69,41390.52,51487.81,937,704.6676,1241.91,0,43.9,151,385.56
VC2A,VC,Vertosol,Agricultural,Cropping,15 cm,213746393,153436.2,11,1.542454725,4.68,0,0,0,92,0,0,14447.34,36524.62,45632.05,47751.78,3831,0,3646.1,0,0,1349,162.31
