"Richness" "Shannon" "Shannon.effective"
"C0A" 11 1.3165671199569 3.73
"C0B" 13 1.70031008544175 5.48
"C10A" 12 0.94479300056673 2.57
"C10B" 12 1.44499078729071 4.24
"C15A" 13 1.47046017877704 4.35
"C15B" 9 1.7354274542201 5.67
"C5A" 11 1.1173893942169 3.06
"C5B" 9 1.27738772286624 3.59
"E0A" 10 1.45724350067874 4.29
"E0B" 10 1.19590338186414 3.31
"E10A" 11 1.63417693685568 5.13
"E10B" 13 1.39047284324339 4.02
"E15A" 12 0.455950357676065 1.58
"E15B" 11 1.61708269314049 5.04
"E5A" 10 0.864003410198887 2.37
"E5B" 9 1.1373467817673 3.12
"L12A" 14 1.41222569811785 4.11
"L12B" 14 1.07605810969931 2.93
"L2A" 11 1.09722152332755 3
"L2B" 15 1.45840326991485 4.3
"L4A" 15 1.58496944691617 4.88
"L4B" 15 1.18421477855061 3.27
"L8A" 16 1.6385272231128 5.15
"L8B" 11 1.50579205282894 4.51
"T0A" 12 1.19452936050285 3.3
"T0B" 12 1.23930257059579 3.45
"T10A" 13 1.65142308675184 5.21
"T10B" 12 1.66137986495935 5.27
"T15A" 13 1.63236967931871 5.12
"T15B" 12 1.27546360910793 3.58
"T5A" 11 1.56079742676673 4.76
"T5B" 12 1.44488285234282 4.24
