Library,Temperature,Group,Time,Collected,Richness,Shannon,Shannon.effective,TotalReads,SumReads,Botourmiaviridae,Haploviricotina,Leviviricetes,Mitoviridae,Amabiliviricetes,Nodamuvirales,Other,Partitiviridae,Permutotetraviridae,Picobirnaviridae,Picornavirales,Tolivirales,Alsuviricetes,Astroviridae,Bunyavirales,Durnavirales,Ghabrivirales,Birnaviridae,Reovirales,Amalgaviridae
C0A,2-8°C,2-8°C,1 day,September,11,1.31656712,3.73,54395434,239953.23,10602.05,7299.3,149395.83,11782.55,9120.14,40422.29,1466.06,766,175,1631,5582.01,1711,0,0,0,0,0,0,0,0
C0B,2-8°C,2-8°C,1 day,September,13,1.70031009,5.48,48253449,503083.16,37617.97,47,195521.83,26093.13,11131.75,148987.21,22612.31,13879.76,23213.83,7787.27,14406.31,1591.79,129,64,0,0,0,0,0,0
C5A,2-8°C,2-8°C,5 days,September,11,1.11738939,3.06,48031354,234400.8,2460.52,1892,169694.33,9071.11,5618.96,3469,11783.12,479,0,1791,4419,22755.57,0,967.19,0,0,0,0,0,0
C5B,2-8°C,2-8°C,5 days,September,9,1.27738772,3.59,43113215,194952.8,1819.39,0,122551.69,4864.29,7659.36,31188.15,12719.99,3287,0,3047.93,7196,619,0,0,0,0,0,0,0,0
C10A,2-8°C,2-8°C,10 days,September,12,0.944793,2.57,54286146,248112.87,13521.44,1754,194459.56,10608,9525.87,8080,1050,410,0,3745,3376,809,0,281,493,0,0,0,0,0
C10B,2-8°C,2-8°C,10 days,September,12,1.44499079,4.24,52338401,382121.96,5309.58,34,206125.11,5704.07,10433.44,61337.18,16208.42,52778.34,130,5169,16096.83,1727.99,0,1068,0,0,0,0,0,0
C15A,2-8°C,2-8°C,15 days,September,13,1.47046018,4.35,62345438,319486.52,85662.94,27200.28,161333.71,6920.44,7431.04,13681,4956.83,1221,410,4871.28,4158,1117,0,523,0,0,0,0,0,0
C15B,2-8°C,2-8°C,15 days,September,9,1.73542745,5.67,60845876,203455.28,15684.1,0,94749.34,17228.45,13153.83,22015.91,18497.82,4530.73,0,9106.17,6356,2132.93,0,0,0,0,0,0,0,0
T0A,-30°C,-30°C,1 day,September,12,1.19452936,3.3,55197004,512843.8,8317,0,124111.5,18240.49,12692.8,313411.74,9672.93,11565,0,4478.16,8804.18,1123,73,252,102,0,0,0,0,0
T0B,-30°C,-30°C,1 day,September,12,1.23930257,3.45,57046227,324176.24,3710.25,0,201616.13,13016.68,9713.84,64627.57,2986.57,9358.23,22,8065.75,9113,1294,478.22,0,0,0,0,0,174,0
T5A,-30°C,-30°C,5 days,September,11,1.56079743,4.76,54178777,309682.81,10474.67,0,151606.25,10591.93,10171.11,8380,30725.58,64077.89,0,5007,5111,13395.38,0,110,0,32,0,0,0,0
T5B,-30°C,-30°C,5 days,September,12,1.44488285,4.24,53383628,372500.11,5084.21,0,199170.04,11944,9382.56,82390.66,26018.73,8000,0,19950.58,5776,1571.33,2233,0,0,0,58,0,921,0
T10A,-30°C,-30°C,10 days,September,13,1.65142309,5.21,49203785,354548.5,8791.25,42,166319.05,13735.11,19153.91,74211.06,22601.96,12406.52,39,7405.55,24794.38,988.71,3957,0,0,0,0,0,103,0
T10B,-30°C,-30°C,10 days,September,12,1.66137986,5.27,56408713,157824.45,11329.15,152,78091.6,24681.59,5669.14,5116,14198,5178.91,0,3490.82,4493,5339.24,0,0,0,0,0,0,0,85
T15A,-30°C,-30°C,15 days,September,13,1.63236968,5.12,57759105,263023.13,6110.03,912,110649.24,11149.68,8748.74,7787,78973.49,5345.61,0,5987.04,10342.22,16619.08,101,250,0,0,48,0,0,0
T15B,-30°C,-30°C,15 days,September,12,1.27546361,3.58,53307120,461566.87,7116.79,0,292491.85,4263.11,18446.25,72764.95,14246.28,11123,0,24719.35,10980.01,3003.86,568,139,0,0,0,0,1704.42,0
E0A,-80°C,-80°C,1 day,September,10,1.4572435,4.29,55103232,312059.3,6519.12,0,157543.5,28240.29,7155.95,7357.03,71827.34,12972,0,14265.07,4988,1136,0,0,55,0,0,0,0,0
E0B,-80°C,-80°C,1 day,September,10,1.19590338,3.31,48722310,321691.27,15219.52,0,219437.22,34768.94,8385.19,18690.62,1866,8631.99,0,5383.16,5822,3357,129.63,0,0,0,0,0,0,0
E5A,-80°C,-80°C,5 days,September,10,0.86400341,2.37,59847071,396442.62,15085.77,0,318531.16,17431.48,4093.55,14491.79,12674,2368,0,7585.87,2479,1655,0,47,0,0,0,0,0,0
E5B,-80°C,-80°C,5 days,September,9,1.13734678,3.12,53601268,454763.64,33424.16,0,317040.83,24236.81,6483.9,26510.07,7416.87,17400,0,17915,4177,159,0,0,0,0,0,0,0,0
E10A,-80°C,-80°C,10 days,September,11,1.63417694,5.13,53763085,762361.89,178999.64,0,267892.18,6590.81,13752.59,165848.34,68383.97,23422.53,0,19731.38,14407.45,1969,1237,127,0,0,0,0,0,0
E10B,-80°C,-80°C,10 days,September,13,1.39047284,4.02,50408847,237972.94,11718.31,0,146642.67,29779.81,6579,8710.38,2941,5818.84,1102,5957,16296.93,2125,122,112,68,0,0,0,0,0
E15A,-80°C,-80°C,15 days,September,12,0.45595036,1.58,54176348,846945.69,4614.79,0,769080.78,23538.68,4370.85,4593,1915,5540,0,25703.6,5397,1747.99,0,152,43,249,0,0,0,0
E15B,-80°C,-80°C,15 days,September,11,1.61708269,5.04,54684236,359486.38,4074.91,0,157690.14,52614.2,7652.62,67078.08,32044.31,22682.95,0,6478.42,7548.75,1008,541,73,0,0,0,0,0,0
L2A,-80°C,-80°C (long),15 days,April,11,1.09722152,3,109249112,279458.61,40088.05,0,192043.24,22649.84,4299.01,0,0,1546,0,1782,437,9552.47,4481,0,286,2141,153,0,0,0
L2B,-80°C,-80°C (long),15 days,April,15,1.45840327,4.3,128882354,187523.7,14993.9,35,99225.76,44395.32,3989,0,114,1462,0,3324.8,1258,6343,658,0,102,8158.92,2474,471,519,0
L4A,-80°C,-80°C (long),4 weeks,April,15,1.58496945,4.88,108195023,153406.41,32205.59,26,63011.87,35733.11,4798,0,364,1328.15,0,4290.98,947,459,916.67,80,606,4972.04,3626,0,42,0
L4B,-80°C,-80°C (long),4 weeks,April,15,1.18421478,3.27,156693352,240005.92,13341.42,178,156695.02,46070.29,2760,0,446,455,0,5387.54,2002,49,1979.65,0,306,5772,3276,819,469,0
L8A,-80°C,-80°C (long),8 weeks,April,16,1.63852722,5.15,121356917,161095.28,3307,1242,90378.13,18004,10279,0,581,3780,1042,7514,6353.17,1055,1967,170,0,2133.98,10631,1268,1390,0
L8B,-80°C,-80°C (long),8 weeks,April,11,1.50579205,4.51,157361027,120757.44,6686.4,0,45534.26,47751.78,3172,0,336,689,0,1421,2601,1349,1111,0,0,7831,2275,0,0,0
L12A,-80°C,-80°C (long),12 weeks,April,14,1.4122257,4.11,161221243,147798.66,12189.02,309,73187.36,43370.21,5624.12,0,76,1663.96,0,2182,860,776.57,215,0,583,3876.42,2886,0,0,0
L12B,-80°C,-80°C (long),12 weeks,April,14,1.07605811,2.93,146336079,304331.35,8584.33,206,202393.47,67242.5,9889,0,811,745.03,0,1530,3894,0,1437.95,57,905,4482.07,827,1327,0,0
