seq_ID,ID_refined,environment,location,library,name,full_name,novel,family
AAA46854.1,AAA46854,NONE,NONE,NONE,Human respirovirus 3,AAA46854 Human respirovirus 3,N,paramyxoviridae
AAN18266.1,AAN18266,NONE,NONE,NONE,Reptilian ferlavirus,AAN18266 Reptilian ferlavirus,N,paramyxoviridae
AVM86048.1,AVM86048,NONE,NONE,NONE,Pohorje myodes paramyxovirus 1,AVM86048 Pohorje myodes paramyxovirus 1,N,paramyxoviridae
AVM87369.1,AVM87369,NONE,NONE,NONE,Wenling triplecross lizardfish paramyxovirus,AVM87369 Wenling triplecross lizardfish paramyxovirus,N,paramyxoviridae
AVM87378.1,AVM87378,NONE,NONE,NONE,Wenling tonguesole paramyxovirus,AVM87378 Wenling tonguesole paramyxovirus,N,paramyxoviridae
AYN62588.1,AYN62588,NONE,NONE,NONE,Salmon aquaparamyxovirus,AYN62588 Salmon aquaparamyxovirus,N,paramyxoviridae
NP_037646.1,NP_037646,NONE,NONE,NONE,Bovine respirovirus 3,NP_037646 Bovine respirovirus 3,N,paramyxoviridae
NP_047113.3,NP_047113.3,NONE,NONE,NONE,Hendra henipavirus,NP_047113.3 Hendra henipavirus,N,paramyxoviridae
NP_958055.1,NP_958055,NONE,NONE,NONE,Mossman virus,NP_958055 Mossman virus,N,paramyxoviridae
QDJ04464.1,QDJ04464,NONE,NONE,NONE,Nipah henipavirus,QDJ04464 Nipah henipavirus,N,paramyxoviridae
QED12414.1,QED12414,NONE,NONE,NONE,Murine respirovirus,QED12414 Murine respirovirus,N,paramyxoviridae
QFE96930.1,QFE96930,NONE,NONE,NONE,Canine morbillivirus,QFE96930 Canine morbillivirus,N,paramyxoviridae
QGQ32885.1,QGQ32885,NONE,NONE,NONE,Measles morbillivirus,QGQ32885 Measles morbillivirus,N,paramyxoviridae
YP_006347589.1,YP_006347589,NONE,NONE,NONE,Nariva virus,YP_006347589 Nariva virus,N,paramyxoviridae
YP_009091839.1,YP_009091839,NONE,NONE,NONE,Bat Paramyxovirus,YP_009091839 Bat Paramyxovirus,N,paramyxoviridae
YP_009094450.1,YP_009094450,NONE,NONE,NONE,Porcine respirovirus 1,YP_009094450 Porcine respirovirus 1,N,paramyxoviridae
YP_009512964.1,YP_009512964,NONE,NONE,NONE,Feline morbillivirus,YP_009512964 Feline morbillivirus,N,paramyxoviridae
YP_512254.1,YP_512254,NONE,NONE,NONE,Beilong virus,YP_512254 Beilong virus,N,paramyxoviridae
YP_002905331.1,YP_002905331,NONE,NONE,NONE,Midway nyavirus,YP_002905331 Midway nyavirus,N,nyamiviridae
YP_002905337.1,YP_002905337,NONE,NONE,NONE,Nyamanini nyavirus,YP_002905337 Nyamanini nyavirus,N,nyamiviridae
YP_009044201.1,YP_009044201,NONE,NONE,NONE,Sierra Nevada virus,YP_009044201 Sierra Nevada virus,N,nyamiviridae
YP_009052467.1,YP_009052467,NONE,NONE,NONE,Soybean cyst nematode socyvirus,YP_009052467 Soybean cyst nematode socyvirus,N,nyamiviridae
YP_009304558.1,YP_009304558,NONE,NONE,NONE,Wenzhou Crab Virus 1,YP_009304558 Wenzhou Crab Virus 1,N,nyamiviridae
YP_009333418.1,YP_009333418,NONE,NONE,NONE,Beihai rhabdo-like virus 4,YP_009333418 Beihai rhabdo-like virus 4,N,nyamiviridae
YP_009333422.1,YP_009333422,NONE,NONE,NONE,Beihai rhabdo-like virus 5,YP_009333422 Beihai rhabdo-like virus 5,N,nyamiviridae
