sequence_ID,genus,family,source,broad_source,broader_source,location,name,full_name
APG78168,zetapicobirnavirus,picobirnaviridae,Hermit crab,Arthropod,Invertebrate,Beihai,Beihai picobirna-like virus 1,APG78168 Beihai picobirna-like virus 1
APG78171,zetapicobirnavirus,picobirnaviridae,Hermit crab,Arthropod,Invertebrate,Beihai,Beihai picobirna-like virus 2,APG78171 Beihai picobirna-like virus 2
APG78176,zetapicobirnavirus,picobirnaviridae,Barnacle,Arthropod,Invertebrate,Beihai,Beihai picobirna-like virus 3,APG78176 Beihai picobirna-like virus 3
APG78210,zetapicobirnavirus,picobirnaviridae,Earwig,Arthropod,Invertebrate,Hubei,Hubei earwig virus 2,APG78210 Hubei earwig virus 2
APG78314,zetapicobirnavirus,picobirnaviridae,Pillworm,Arthropod,Invertebrate,Wuhan,Wuhan pillworm virus 4,APG78314 Wuhan pillworm virus 4
UDL14441,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Xinjiang ,Picobirnaviridae sp.,UDL14441.1 Picobirnaviridae sp.
UDL14445,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Xinjiang ,Picobirnaviridae sp.,UDL14445.1 Picobirnaviridae sp.
UDL14446,zetapicobirnavirus,picobirnaviridae,Chicken ,Avian,Avian,Yunnan ,Picobirnaviridae sp.,UDL14446.1 Picobirnaviridae sp.
UDL14452,zetapicobirnavirus,picobirnaviridae,Pig ,Suidae,Mammalian,Henan ,Picobirnaviridae sp.,UDL14452.1 Picobirnaviridae sp.
UDL14459,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Xinjiang ,Picobirnaviridae sp.,UDL14459.1 Picobirnaviridae sp.
UDL14460,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Yunnan ,Picobirnaviridae sp.,UDL14460.1 Picobirnaviridae sp.
UDL14465,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Sichuan ,Picobirnaviridae sp.,UDL14465.1 Picobirnaviridae sp.
UDL14466,zetapicobirnavirus,picobirnaviridae,Horse ,Horse,Mammalian,Xinjiang ,Picobirnaviridae sp.,UDL14466.1 Picobirnaviridae sp.
UDL14475,zetapicobirnavirus,picobirnaviridae,Pig ,Suidae,Mammalian,Heilongjiang ,Picobirnaviridae sp.,UDL14475.1 Picobirnaviridae sp.
UDL14484,zetapicobirnavirus,picobirnaviridae,Cattle ,Bovidae,Mammalian,Yunnan ,Picobirnaviridae sp.,UDL14484.1 Picobirnaviridae sp.
